"","s1"
"257",183403.774185936
"258",146985.161779822
"259",233446.885602692
"260",251350.705423802
"261",176711.665210611
"262",133761.406930402
"263",150441.953899957
"264",211601.078339493
"265",221001.203112347
"266",192530.490642833
"267",183118.349356426
"268",195263.164275151
"269",152115.97908695
"270",164064.760838716
"271",122067.141881671
"272",117711.956086095
"273",104744.613614562
"274",114635.641337533
"275",134109.595919409
"276",103421.828778109
"277",298879.262289516
"278",252328.039315705
"279",292073.539629182
"280",224259.152911058
"281",194041.365078205
"282",187736.09364206
"283",186425.041140972
"284",301125.132167113
"285",245908.100470808
"286",237951.732222254
"287",211825.407063523
"288",224593.192846067
"289",159415.479016691
"290",150060.301175107
"291",230401.443835698
"292",111738.158873533
"293",159365.381162984
"294",200376.574888216
"295",185977.819812904
"296",105330.642320133
"297",103269.799437219
"298",141635.554115346
"299",145684.088738865
"300",159018.68468789
"301",139960.189983612
"302",178030.491645991
"303",205416.532542123
"304",114486.136372554
"305",181258.696766292
"306",159881.213889254
"307",182937.191188894
"308",127959.80327912
"309",162042.128606479
"310",140221.728097614
"311",127445.068496278
"312",146212.633621887
"313",111955.128188667
"314",187078.284227468
"315",122623.752556359
"316",117413.908513837
"317",84330.0034369978
"318",135958.554356951
"319",118299.282517402
"320",176558.941656316
"321",131425.819916852
"322",79475.7236001141
"323",147444.263738971
"324",92284.566285409
"325",138156.324460661
"326",167090.487907722
"327",186969.090924799
"328",42956.5204926187
"329",127474.698865591
"330",72643.2105209746
"331",234394.47164707
"332",144614.354551801
"333",136553.400243227
"334",158130.217733088
"335",129079.833800089
"336",140831.908301395
"337",148779.129292582
"338",120020.676672354
"339",92326.5276868312
"340",140356.757820189
"341",118707.535740675
"342",143633.596119457
"343",170757.698637202
"344",154291.461815866
"345",129148.389318375
"346",135072.996275044
"347",163378.78693925
"348",120124.351825409
"349",111165.911955545
"350",124461.401935886
"351",78209.6428574964
"352",97892.9122441272
"353",104950.141792317
"354",77375.5307081821
"355",35484.3189619647
"356",74577.4699382948
"357",118745.887974906
"358",169986.490898636
"359",141891.002889728
"360",47645.7674095118
"361",114256.216815285
"362",162996.531891313
"363",23482.8492761901
"364",163031.570041322
"365",139604.108557154
"366",115257.486506248
"367",106676.188021486
"368",125003.926430856
"369",150156.84172321
"370",150969.182855621
"371",152013.418959682
"372",138447.302296375
"373",145097.746816981
"374",134294.741003038
"375",153391.714090861
"376",141913.899704526
"377",108819.450312697
"378",124638.742866645
"379",56569.9745539479
"380",137861.841500786
"381",140425.446139749
"382",94307.8885912483
"383",122505.023980758
"384",160211.779579951
"385",135062.1331117
"386",160347.30964877
"387",177875.667850818
"388",38304.2191726848
"389",110749.24431687
"390",103641.474682603
"391",145476.906689157
"392",114760.874603106
"393",142310.943163472
"394",174008.114724131
"395",177299.252362843
"396",216321.915429295
"397",170468.681559211
"398",166432.922516943
"399",137823.846631099
"400",166665.077624195
"401",136834.030042885
"402",270359.146331694
"403",270359.146331694
"404",270359.146331694
"405",305980.194646039
"406",308885.910962895
"407",241194.561862225
"408",270087.87635247
"409",208996.210464987
"410",225346.056119683
"411",264518.407373084
"412",197529.097636125
"413",237713.099889046
"414",117435.67799053
"415",199239.582633277
"416",177580.093994704
"417",197121.069672933
"418",211154.238554789
"419",123528.15209536
"420",109871.03140275
"421",239331.501150199
"422",254031.518068111
"423",205456.567311994
"424",212263.332573222
"425",243821.079252931
"426",269959.554807144
"427",210791.190416833
"428",247623.486190477
"429",180178.274863281
"430",80817.7006531592
"431",139937.104339512
"432",78114.1115272418
"433",120372.566055927
"434",128860.159528386
"435",129504.294382502
"436",107433.812554615
"437",100514.554706165
"438",117949.736365076
"439",186205.414124699
"440",172297.248657444
"441",171401.207535413
"442",156279.784166094
"443",231776.458260467
"444",154795.07302586
"445",203321.683637041
"446",151429.668919773
"447",229445.568239551
"448",108941.488766872
"449",157230.33484721
"450",137334.262781933
"451",207364.266636567
"452",292170.710667684
"453",167856.433410905
"454",41582.1247677059
"455",294401.3412237
"456",56596.852052759
"457",250435.826796059
"458",134214.269746456
"459",172370.330961669
"460",163389.625823059
"461",340645.313881822
"462",311741.623920882
"463",223158.930807413
"464",238470.627369514
"465",230873.220053428
"466",335457.694346629
"467",120322.891967474
"468",143529.539528677
"469",120340.67310755
"470",150313.228659232
"471",135999.993461396
"472",134584.037579785
"473",177622.247004387
"474",166063.524222964
"475",160098.193805464
"476",199024.595372977
"477",173113.897770531
"478",169169.183839356
"479",292628.701988716
"480",253621.021253629
"481",174693.024084889
"482",185174.504349566
"483",272059.957103157
"484",360872.032868184
"485",359613.516664182
"486",159578.373404234
"487",330490.895048705
"488",156189.047933609
"489",234769.219702684
"490",180928.351432453
"491",247039.521597097
"492",223581.966969183
"493",184138.238446209
"494",204247.513510727
"495",131364.052146875
"496",290245.785922819
"497",157978.793659861
"498",268011.252250384
"499",170718.783762054
"500",107738.193129439
"501",121176.877032603
"502",96396.9152558692
"503",99414.1267479104
"504",102319.59580894
"505",158250.150552434
"506",148533.967896489
"507",290993.694657525
"508",386096.964195283
"509",363011.572752817
"510",387316.260481837
"511",417492.459353185
"512",355712.518930262
"513",311415.323290611
"514",324354.221648163
"515",418862.772476451
"516",290101.529051152
"517",360387.92606664
"518",359311.158811767
"519",326511.454076362
"520",239332.619003678
"521",332473.886676738
"522",247437.367252559
"523",243913.526951173
"524",239600.858184749
"525",220705.819862444
"526",179610.106381763
"527",191557.133590636
"528",185007.074782202
"529",206571.828909756
"530",216778.030993357
"531",239711.165613703
"532",227179.657464993
"533",190819.283196553
"534",226698.848099527
"535",186760.762566006
"536",322093.744584762
"537",346164.107963381
"538",334065.399443523
"539",283896.07753256
"540",337556.570061996
"541",311237.540641434
"542",230250.968247228
"543",268382.011264677
"544",271230.585540035
"545",236840.05343665
"546",213564.567473653
"547",262391.898545145
"548",202067.969343178
"549",201229.793545155
"550",213289.535017396
"551",145314.247617605
"552",197471.95663545
"553",182017.497786393
"554",189622.146498038
"555",214511.721774938
"556",192898.392040279
"557",208217.838202772
"558",117110.436061348
"559",120156.760242857
"560",114262.825140795
"561",113674.952157465
"562",193026.948384145
"563",159093.361626011
"564",287972.459975491
"565",374063.194258266
"566",194925.351970094
"567",168826.208447256
"568",184704.218024051
"569",169395.347679304
"570",270332.625680119
"571",242065.044188853
"572",266288.709212585
"573",261640.041646161
"574",183956.381347955
"575",198897.727215326
"576",214236.393773596
"577",214988.073808457
"578",300911.243630271
"579",250115.56029116
"580",334204.141094443
"581",269359.376400962
"582",204841.498555348
"583",182294.174897768
"584",182008.752489419
"585",196442.465726157
"586",162126.07406918
"587",141051.40024271
"588",126571.394256803
"589",165734.961780265
"590",188645.571358424
"591",109025.758386208
"592",134670.355608887
"593",139812.512391491
"594",90643.6665512166
"595",156879.149389308
"596",138572.392540059
"597",113964.019100085
"598",208574.132184584
"599",123644.143909015
"600",153427.77338186
"601",169003.084713148
"602",122661.117638897
"603",114085.225462525
"604",123447.545669867
"605",116999.600238537
"606",178927.2453249
"607",149278.102925593
"608",169719.843780161
"609",84947.1975603398
"610",111595.812996364
"611",88617.1777573495
"612",163234.683731343
"613",131304.944347519
"614",169412.829928052
"615",142241.678002893
"616",102389.271234265
"617",143599.874496343
"618",113138.642834134
"619",143045.906732554
"620",117780.837830043
"621",129460.469780659
"622",168872.956958991
"623",153908.120962444
"624",100790.012775385
"625",122478.88849007
"626",102328.817740683
"627",122195.217946125
"628",109043.469064401
"629",64789.3411639029
"630",141321.338296682
"631",103046.890405116
"632",123281.335381531
"633",142442.481563862
"634",129280.755491817
"635",131211.427274456
"636",79747.1785570303
"637",93797.5007800591
"638",138175.087490226
"639",24885.8434165803
"640",79379.5647514427
"641",124479.921565356
"642",131341.66972386
"643",89462.7934247785
"644",139856.914443794
"645",119846.940190932
"646",58919.9210444903
"647",210218.143431625
"648",79321.7494028093
"649",88891.0524713992
"650",130899.321238251
"651",162877.348808934
"652",149526.555190664
"653",124461.464583072
"654",124861.467431237
"655",159829.577939597
"656",117401.249375395
"657",136381.824991359
"658",123801.73477034
"659",116288.771506968
"660",116039.97212705
"661",98038.1222359418
"662",95295.6989454918
"663",93717.1250682354
"664",185320.036743556
"665",144004.979835695
"666",185726.758661243
"667",165056.906832232
"668",143736.682312719
"669",110446.327074548
"670",127356.457606518
"671",154563.781689579
"672",123582.011015888
"673",126710.266497469
"674",112822.287084423
"675",83820.1964481214
"676",75680.4504278681
"677",123455.341502218
"678",160580.675808027
"679",150985.687829482
"680",134618.156049322
"681",159617.572225015
"682",133474.587102268
"683",157133.72543975
"684",121311.785894409
"685",137254.134610368
"686",167765.73201229
"687",173708.964024465
"688",132090.710994117
"689",141907.640699902
"690",225678.980734546
"691",116981.497881456
"692",144954.68469918
"693",157496.760290609
"694",108495.872256125
"695",116702.725437241
"696",248649.115477214
"697",213606.474751232
"698",226128.897748056
"699",235335.153345086
"700",189206.07009885
"701",253212.989104855
"702",335265.086856881
"703",308749.234728929
"704",255659.976660421
"705",207049.15542318
"706",130870.429480794
"707",215931.362082134
"708",187594.490146733
"709",204347.879391618
"710",210746.569799143
"711",143130.355043662
"712",136447.029424621
"713",152776.868330303
"714",229735.760307163
"715",265476.94786187
"716",276561.586548864
"717",237234.934740073
"718",225858.271535148
"719",146765.683907774
"720",215145.645257576
"721",206790.987391263
"722",226287.192772699
"723",213388.515796151
"724",105568.981779267
"725",143593.089298206
"726",123528.893317244
"727",148964.263347061
"728",161813.523048384
"729",254279.396446105
"730",80279.1568780984
"731",71668.616706864
"732",84166.7411276933
"733",114832.633134266
"734",95202.023252282
"735",97641.9104640278
"736",119263.144975045
"737",114627.202518371
"738",148433.502900564
"739",165933.924613254
"740",155182.880821247
"741",176650.604433591
"742",199152.151128422
"743",182131.183282819
"744",191346.332715852
"745",149231.970031911
"746",153869.296923727
"747",215547.011455028
"748",244213.278278609
"749",205346.672208909
"750",117877.755780857
"751",105456.257427474
"752",105101.855854622
"753",107162.681220619
"754",136930.620911103
"755",93036.4688566037
"756",152678.635938388
"757",42808.5307338344
"758",78999.320339862
"759",69039.582907063
"760",48014.9547838402
"761",294722.25225996
"762",278351.09912395
"763",277145.865000247
"764",219334.675673672
"765",152197.157238506
"766",163537.942719913
"767",229941.936190562
"768",280041.111088245
"769",247775.822787302
"770",158142.674607006
"771",238424.314687298
"772",178051.47557509
"773",198235.85981035
"774",247515.246360077
"775",230704.987543433
"776",262172.096160868
"777",304347.02613785
"778",213101.340647177
"779",121089.917843833
"780",150782.113245179
"781",136006.314436158
"782",117022.557174463
"783",113863.644046146
"784",107047.741905152
"785",109898.055927001
"786",132648.723723075
"787",96837.8770246447
"788",102819.946837218
"789",115886.462216719
"790",114759.205309488
"791",143408.569681583
"792",170824.308152144
"793",154952.18099444
"794",160537.855671041
"795",178484.153692791
"796",192206.918439262
"797",205651.641434426
"798",170070.829082808
"799",170238.669069094
"800",146367.852758158
"801",250877.470277019
"802",271868.460369028
"803",347175.939136129
"804",385955.799281241
"805",157256.78957829
"806",322794.659155266
"807",357512.42668526
"808",373729.890725809
"809",161448.45228037
"810",195871.537874292
"811",213048.220521541
"812",217856.152642106
"813",168283.273069984
"814",171746.403282083
"815",160000.687037801
"816",215935.790570235
"817",174826.407639408
"818",140926.390997806
"819",133361.908389024
"820",96655.1005836784
"821",196004.865864546
"822",190018.789265151
"823",109576.037440442
"824",134441.338913697
"825",138682.819390083
"826",102974.017766357
"827",357356.914667155
"828",300862.251926293
"829",332987.197746161
"830",389797.399525269
"831",328647.019460453
"832",376361.206201771
"833",405785.652695293
"834",386896.423009485
"835",400496.968916259
"836",278976.302940574
"837",338666.167707093
"838",359515.483098759
"839",368935.692038542
"840",323575.60689127
"841",314856.851028463
"842",269794.477403689
"843",267770.955994428
"844",278354.996401689
"845",241695.719991532
"846",241695.719991532
"847",246527.711306031
"848",268403.716959713
"849",298506.996657795
"850",246240.741408401
"851",243987.027142759
"852",176453.276183139
"853",185735.884229689
"854",185762.697644105
"855",179311.709122329
"856",198257.682565908
"857",197192.644165976
"858",199074.821443257
"859",191179.573811906
"860",180897.859571287
"861",235159.976784297
"862",186539.626332874
"863",202877.285471468
"864",184038.074762928
"865",220183.042264152
"866",185436.27959085
"867",210254.68225163
"868",219988.925572535
"869",175334.612886635
"870",172840.759289602
"871",355596.459126323
"872",396739.419501288
"873",328008.201588938
"874",303386.806048279
"875",299394.157030807
"876",327652.168722944
"877",202183.809147014
"878",232869.598930921
"879",237617.516706288
"880",344115.752337491
"881",212658.017067426
"882",240459.40163057
"883",227716.11477988
"884",238086.323829209
"885",248558.356714631
"886",211526.549211811
"887",199983.627900987
"888",243976.747085676
"889",180091.256490978
"890",280781.856710823
"891",253947.386508016
"892",264036.885410615
"893",266344.603404291
"894",132560.738915854
"895",161901.13052824
"896",151550.375563764
"897",202709.368443499
"898",198956.29842073
"899",133843.593447736
"900",112369.548840584
"901",132346.541894787
"902",267662.773772159
"903",142008.420091849
"904",173258.351738933
"905",233495.275569514
"906",203309.042674513
"907",228519.553714523
"908",209979.887293007
"909",229376.622258519
"910",164725.612397186
"911",182538.03694376
"912",193939.073986726
"913",239749.121126851
"914",270760.942674435
"915",266102.081137107
"916",284278.503747101
"917",320799.123777034
"918",140658.575236137
"919",207072.397699149
"920",163744.753422325
"921",165940.383947173
"922",189627.698162776
"923",204824.329229161
"924",222954.656872254
"925",144885.693588482
"926",131731.547877139
"927",133717.845023144
"928",113726.973885451
"929",132970.156192278
"930",133013.203112493
"931",124146.868339314
"932",102967.87397723
"933",160549.20459735
"934",159900.140937776
"935",193084.360453508
"936",143454.700362996
"937",196806.769949697
"938",117345.092669391
"939",65216.5962876993
"940",52885.9218423893
"941",112596.951814661
"942",127825.081615472
"943",166764.399470815
"944",151945.984654123
"945",169705.667447711
"946",136778.032088666
"947",93719.640266712
"948",117473.846924371
"949",116868.464133678
"950",174083.953590638
"951",105773.281417891
"952",153704.485740465
"953",128015.044390492
"954",140463.520356394
"955",160447.896923984
"956",127657.209951549
"957",132755.760666224
"958",119075.949704535
"959",115407.766150759
"960",106498.183539894
"961",140768.123464365
"962",102956.434894148
"963",117956.496500508
"964",143063.664611396
"965",237967.71795367
"966",137863.133127114
"967",164048.926974217
"968",178603.665770822
"969",101647.637172315
"970",123342.49975875
"971",116335.914246022
"972",136614.117370136
"973",125369.67264041
"974",131414.323595418
"975",134998.935744357
"976",110858.3067902
"977",102229.635925351
"978",127462.914058661
"979",111689.199996536
"980",124402.503476828
"981",73572.9981218249
"982",95621.9233510609
"983",113519.190101018
"984",124293.841513024
"985",73603.9780564245
"986",133233.894345992
"987",187801.839282733
"988",126308.457387388
"989",110601.709165807
"990",152600.68530509
"991",119209.901018426
"992",192249.912030713
"993",78317.8354749807
"994",104911.85809215
"995",118105.761434781
"996",111209.586654757
"997",114357.702355295
"998",128438.269803335
"999",103352.081220709
"1000",139697.411110201
"1001",113016.280593136
"1002",127058.502508102
"1003",134829.551895804
"1004",167655.350657265
"1005",166577.375445798
"1006",131180.246962953
"1007",152017.841228121
"1008",93113.8367007659
"1009",102391.637339483
"1010",172331.758354999
"1011",185723.335808251
"1012",174573.428535699
"1013",104211.367667836
"1014",95579.4534707007
"1015",212807.948630725
"1016",111716.200687865
"1017",133876.468182455
"1018",169759.098223506
"1019",111111.396023876
"1020",147340.913534173
"1021",140305.313813898
"1022",140672.147668397
"1023",113825.474385176
"1024",120085.312338299
"1025",119625.623274661
"1026",138526.141371161
"1027",203084.125297298
"1028",159530.824224977
"1029",160701.457297988
"1030",136292.813504298
"1031",74816.5682058702
"1032",183027.100533765
"1033",137299.865082912
"1034",136302.545386909
"1035",91381.3721152315
"1036",246009.583326121
"1037",151943.245568644
"1038",95810.9545234796
"1039",91103.0124762275
"1040",111575.689969497
"1041",113667.770945635
"1042",131995.544876432
"1043",94800.4643265434
"1044",184768.309235749
"1045",215187.974709863
"1046",263388.872190515
"1047",287079.848096178
"1048",259330.180162028
"1049",226816.313671726
"1050",213210.70648892
"1051",191299.370069639
"1052",231590.075079178
"1053",214508.139262789
"1054",256792.83482862
"1055",130737.871476667
"1056",167157.850865199
"1057",119588.615915446
"1058",128257.912987708
"1059",237347.407095207
"1060",195746.405014281
"1061",202446.111072341
"1062",213301.669147857
"1063",136831.394441741
"1064",139376.608977203
"1065",127943.989796074
"1066",144829.507812578
"1067",130533.62944586
"1068",112122.545971775
"1069",143450.241560217
"1070",105004.291334693
"1071",232254.875463193
"1072",216684.625339679
"1073",207192.431826069
"1074",254888.219356968
"1075",271009.789626937
"1076",224731.258082548
"1077",228083.526611514
"1078",191405.972228026
"1079",202386.708449414
"1080",188693.247475859
"1081",190599.856676264
"1082",185395.325425554
"1083",127491.70050145
"1084",102092.583118836
"1085",122549.125654531
"1086",147171.961606643
"1087",138854.636532073
"1088",168558.701861631
"1089",147734.336491067
"1090",549105.001031746
"1091",158073.085079767
"1092",106035.185168168
"1093",62509.7765517346
"1094",103221.078378526
"1095",98624.2824645211
"1096",72220.419839086
"1097",90209.200965258
"1098",178005.37758877
"1099",165692.8176652
"1100",156285.191054614
"1101",163925.299265827
"1102",157310.810221504
"1103",163234.565506447
"1104",211047.720611311
"1105",157710.897962515
"1106",174460.787532165
"1107",156867.067634866
"1108",208939.509760238
"1109",203994.235619901
"1110",119869.356926139
"1111",203217.348642967
"1112",174799.701317985
"1113",241315.719260161
"1114",280474.109815156
"1115",145211.236824238
"1116",129529.91970789
"1117",169487.497412049
"1118",89268.158020566
"1119",50945.5308082729
"1120",120449.859793819
"1121",90020.0041547829
"1122",100826.317979743
"1123",275168.358134767
"1124",185365.115551383
"1125",192418.438272203
"1126",201821.228075277
"1127",180950.589481035
"1128",140675.161829052
"1129",156200.172420058
"1130",235632.663583469
"1131",232904.300237988
"1132",230037.418135153
"1133",257345.903343298
"1134",186053.375790402
"1135",219597.331444371
"1136",299039.877506514
"1137",201728.207826317
"1138",275714.262345234
"1139",328296.691470281
"1140",141007.112087816
"1141",154480.441116951
"1142",77891.3577504088
"1143",107275.019341245
"1144",71225.6678644338
"1145",81568.5385254398
"1146",160912.574148793
"1147",191796.922937071
"1148",178958.161497757
"1149",153649.503715281
"1150",113586.161108844
"1151",136202.603524115
"1152",138993.945554081
"1153",115463.431941409
"1154",107446.100446426
"1155",152865.051300254
"1156",132692.785838073
"1157",193014.379041933
"1158",242897.961945367
"1159",219057.191057335
"1160",161989.665578244
"1161",173558.37907436
"1162",180101.314546376
"1163",234341.851217398
"1164",270114.505104327
"1165",326888.325288146
"1166",154224.172994456
"1167",221399.058098895
"1168",395516.379700135
"1169",440893.468000921
"1170",354348.769477694
"1171",396351.365154053
"1172",385210.381319989
"1173",319787.779363269
"1174",360556.908781052
"1175",164761.502505496
"1176",181194.181137424
"1177",205358.854145478
"1178",242889.119739109
"1179",183581.410811227
"1180",138220.106913315
"1181",101179.51585676
"1182",195428.817570037
"1183",119286.003511296
"1184",129856.692427996
"1185",103986.64303499
"1186",100609.019191839
"1187",108502.554802179
"1188",145522.80471643
"1189",141392.543938852
"1190",129944.203982503
"1191",159421.043794908
"1192",352653.367662393
"1193",291966.369622583
"1194",282459.407634974
"1195",360103.453993768
"1196",339800.252228865
"1197",337608.550785741
"1198",323762.358468897
"1199",333455.793129362
"1200",342387.196395685
"1201",336658.955366865
"1202",357451.148778752
"1203",280865.593039071
"1204",294569.822578082
"1205",318811.836621824
"1206",297860.008663778
"1207",181442.117992641
"1208",193715.67132661
"1209",201613.755501133
"1210",276367.876374241
"1211",193715.67132661
"1212",190898.063670635
"1213",200479.424297753
"1214",170480.659527656
"1215",187375.158511793
"1216",215958.975447808
"1217",188788.693214146
"1218",241143.220495024
"1219",294026.539384644
"1220",314747.006991408
"1221",400467.087295108
"1222",332086.251655224
"1223",435230.822815615
"1224",351322.486605818
"1225",339090.750533908
"1226",247746.855308181
"1227",257082.917493577
"1228",223604.646073706
"1229",207711.11866898
"1230",322114.691375388
"1231",198215.528651867
"1232",146696.16195647
"1233",212029.237849252
"1234",145450.206420128
"1235",205849.924348337
"1236",193357.02900314
"1237",184724.460908788
"1238",194168.813279284
"1239",188109.232550162
"1240",176823.431348739
"1241",171115.597772614
"1242",116872.652040749
"1243",146290.975606463
"1244",133520.617063115
"1245",111802.908397246
"1246",102433.174783364
"1247",119536.182320504
"1248",114297.008110268
"1249",100700.133414487
"1250",116586.237858366
"1251",301127.461255279
"1252",376426.975256065
"1253",188677.216003895
"1254",177956.193547962
"1255",188275.993599268
"1256",174238.16198859
"1257",187878.301715488
"1258",224620.599027946
"1259",151365.407906792
"1260",169523.503763263
"1261",132823.315316614
"1262",179910.338141785
"1263",164868.219764854
"1264",143113.05931728
"1265",119265.102030125
"1266",134700.862490902
"1267",179096.725595539
"1268",161651.827034415
"1269",148340.205759121
"1270",125807.407112414
"1271",112658.742829913
"1272",112506.11760409
"1273",156749.336943606
"1274",162785.1850138
"1275",131801.84402472
"1276",142134.87217619
"1277",108704.402086382
"1278",156904.764759983
"1279",153758.463164527
"1280",140443.684116108
"1281",136066.599972016
"1282",166339.74738053
"1283",148694.470152719
"1284",158887.835038348
"1285",144355.958457676
"1286",123588.016399738
"1287",163366.028851431
"1288",125257.928625574
"1289",112966.548149487
"1290",124126.83967104
"1291",116860.242889567
"1292",183310.3426592
"1293",144130.872850232
"1294",241806.675501196
"1295",143697.365930974
"1296",87611.3426007533
"1297",87797.9705067062
"1298",66030.9225067714
"1299",152153.470464974
"1300",137105.796382585
"1301",149664.259771983
"1302",137312.188351324
"1303",174038.32226412
"1304",160977.275781667
"1305",245859.466789431
"1306",131382.129762348
"1307",91147.5211805239
"1308",137945.890200172
"1309",126508.850452509
"1310",144171.781429959
"1311",104656.079475044
"1312",121666.656055477
"1313",148447.055083348
"1314",132970.56855075
"1315",104121.640286923
"1316",146528.461924799
"1317",149522.370865702
"1318",116827.192136994
"1319",130524.103432236
"1320",106375.709674525
"1321",83574.6182766316
"1322",76213.6150857089
"1323",93935.5430581618
"1324",118975.122079571
"1325",137451.571604925
"1326",30596.5077940751
"1327",98628.9297419038
"1328",52011.4514516835
"1329",185149.017569921
"1330",93039.243127222
"1331",105496.987846071
"1332",37371.301777101
"1333",166548.352838609
"1334",90903.217713947
"1335",127593.030072359
"1336",106609.06495586
"1337",192254.232976005
"1338",96329.4560799606
"1339",94423.6900271099
"1340",91446.3989042582
"1341",105401.30859937
"1342",125381.571464542
"1343",189744.481725182
"1344",149596.191850563
"1345",91288.331632195
"1346",95425.6424364939
"1347",149400.139012909
"1348",146334.353173917
"1349",136511.471978624
"1350",127519.97641355
"1351",152318.917367449
"1352",156502.052121947
"1353",201846.282929546
