"","predict(lm_modelo, test, na.action = ""na.pass"")"
"269",149113.006671406
"270",162563.484894672
"271",123643.524667342
"272",120340.667660339
"273",105912.062906486
"274",114219.889799356
"275",136727.259464194
"276",103099.749402909
"277",301312.454018881
"278",252376.156110261
"279",296122.320698058
"280",223862.648643909
"281",195433.012360203
"282",187421.983213194
"283",184955.781710292
"284",304305.937348601
"285",248290.490562997
"286",238118.503517785
"287",211102.476701768
"288",223935.245649171
"289",158978.473928296
"290",148108.163920286
"291",232072.036194584
"292",111662.405765745
"293",160829.193006724
"294",198976.540270411
"295",186741.052197241
"296",106236.281353207
"297",102301.329320888
"298",144126.099992349
"299",142194.282264279
"300",160212.810388065
"301",137331.577872725
"302",178412.755603243
"303",208003.8068176
"304",115206.06615283
"305",181888.394131185
"306",158445.993075235
"307",182779.532190116
"308",127045.763421571
"309",162124.906485215
"310",139369.989892881
"311",127398.855460869
"312",146757.254084573
"313",111602.24801005
"314",186906.929060201
"315",121580.073522553
"316",117392.100314695
"317",83689.3112822096
"318",137996.410597796
"319",119227.004776301
"320",181495.900117281
"321",131999.644176782
"322",79651.335174931
"323",147285.397901916
"324",93416.5069363878
"325",137016.339569578
"326",172549.507140573
"327",188226.156856732
"328",44430.7051013251
"329",128404.787979672
"330",76328.4896149982
"331",235178.287084763
"332",142576.714468094
"333",138248.040314139
"334",159903.395940173
"335",126469.648451871
"336",137574.133928604
"337",149243.388512973
"338",120706.884304663
"339",91250.069397559
"340",142015.925089244
"341",117474.385451611
"342",146828.381057046
"343",171658.804449287
"344",155575.487513707
"345",128844.650436971
"346",132455.962583094
"347",162050.917295824
"348",120905.127989793
"349",112486.681187873
"350",123389.339315792
"351",76877.589043547
"352",98136.1889645592
"353",101610.137888296
"354",75820.7809122599
"355",33596.4074794683
"356",70796.7781510921
"357",115919.612451971
"358",166784.464808539
"359",142335.898619055
"360",41825.4267547228
"361",114660.974415398
"362",165969.129020613
"363",21940.5179153996
"364",167689.810591351
"365",140079.562141775
"366",115942.225496989
"367",107466.292419498
"368",122053.095996452
"369",155653.35984233
"370",150092.420203636
"371",148478.852181169
"372",136993.850087751
"373",146396.669334691
"374",135014.736036907
"375",151874.590520309
"376",144696.957614184
"377",114931.76487094
"378",128051.981577591
"379",56451.0004210025
"380",135184.995332977
"381",136657.802345881
"382",92141.0175829486
"383",122423.129912403
"384",159885.580019896
"385",136322.412860875
"386",162418.937638529
"387",179120.078274378
"388",42876.0788454675
"389",111911.016007112
"390",102664.388692197
"391",142787.123662469
"392",112726.382676989
"393",138188.679018527
"394",174152.485192372
"395",176501.428774641
"396",215363.655593084
"397",178455.647445173
"398",163549.181657578
"399",136677.701665756
"400",166345.560099657
"401",135692.45423804
"402",270890.044205183
"403",270890.044205183
"404",270890.044205183
"405",307380.042149374
"406",309149.888317072
"407",241702.088297916
"408",269059.201143102
"409",208377.618107811
"410",224868.152366398
"411",264717.864208918
"412",196981.763341024
"413",238847.118595639
"414",116358.486153247
"415",199401.737637589
"416",176156.098702097
"417",194833.669073381
"418",209399.953104612
"419",122171.408727373
"420",108595.830499692
"421",240626.452643834
"422",253212.700636004
"423",204500.22990385
"424",211223.304911594
"425",242593.212779261
"426",269219.044273866
"427",209274.620207839
"428",247255.455704601
"429",180917.529027827
"430",73951.6174768323
"431",134358.096579637
"432",75481.4707429492
"433",118837.257578439
"434",125404.905975565
"435",127117.883670253
"436",105335.164097597
"437",91609.5210607684
"438",113821.433222032
"439",191100.567002703
"440",175315.757886775
"441",174085.225006965
"442",157174.594605191
"443",231545.935867566
"444",156559.085840406
"445",202310.505311091
"446",152014.817713891
"447",228511.040531563
"448",98224.4140210136
"449",149545.101486834
"450",129498.569475635
"451",208264.100737702
"452",294005.55905164
"453",175034.367248218
"454",36020.5206818157
"455",292400.036103111
"456",50781.663357641
"457",251224.707470277
"458",132228.086257462
"459",172710.13599543
"460",159456.568409721
"461",342953.386331231
"462",315139.23243553
"463",227967.27443202
"464",240450.587705304
"465",232228.196604199
"466",337968.658922583
"467",116827.842881454
"468",141304.383238731
"469",118100.058449927
"470",149046.281581493
"471",134243.681761376
"472",132391.405117155
"473",176188.06517213
"474",163732.292924154
"475",158949.622107325
"476",198511.588366405
"477",171154.835775861
"478",167699.268809066
"479",296843.262781146
"480",255167.884535263
"481",173186.680808142
"482",182510.787790075
"483",273928.755855629
"484",363065.775436837
"485",362594.883676119
"486",160816.398435549
"487",331047.565129852
"488",153852.627565232
"489",233430.064268119
"490",179866.948195641
"491",246562.775376989
"492",221983.932059814
"493",184792.990794672
"494",203408.202000607
"495",131104.920230201
"496",292907.038260357
"497",155802.074130636
"498",268990.474985285
"499",169911.560428101
"500",106611.056638832
"501",121989.437846747
"502",93884.6164399509
"503",97503.4823225162
"504",98846.9116430746
"505",154892.666554684
"506",144585.864745727
"507",292993.67682093
"508",388637.519868111
"509",365726.035005965
"510",390837.720257994
"511",423240.570272448
"512",359601.277648342
"513",313322.835265763
"514",327001.750215064
"515",423092.005848666
"516",292540.353623322
"517",365766.859240162
"518",362929.056571142
"519",327957.857297454
"520",238183.900604283
"521",335602.491736662
"522",246812.516424433
"523",243195.367563866
"524",239582.188022849
"525",219469.269801338
"526",175811.672431753
"527",187664.018423403
"528",183247.866212104
"529",206255.926574451
"530",215140.341552263
"531",238613.285822323
"532",226362.603804866
"533",189062.423465381
"534",227043.148967664
"535",186928.715164196
"536",324980.602645032
"537",349313.296346349
"538",336552.483168025
"539",285723.286546338
"540",339434.611845854
"541",313383.657280698
"542",234560.262274787
"543",271491.908509478
"544",275262.91338329
"545",241428.485686218
"546",214486.949020276
"547",264111.647889415
"548",201764.20967496
"549",199891.528058549
"550",210227.372558558
"551",143618.381170794
"552",195939.973348466
"553",179461.216136446
"554",187441.245432588
"555",212365.794001699
"556",191817.693183689
"557",207123.187299143
"558",118613.215820016
"559",121520.459124495
"560",114273.564311384
"561",116063.004955244
"562",193352.92722177
"563",159517.110150725
"564",287998.451914491
"565",374398.282866889
"566",196198.109185741
"567",168641.593885667
"568",183671.093581726
"569",167656.996052228
"570",270348.34573765
"571",244388.961983723
"572",269719.31117806
"573",261576.17203386
"574",182513.858291816
"575",199565.798374127
"576",213392.378569902
"577",214129.242877542
"578",301408.037836489
"579",253498.183007653
"580",339272.265456296
"581",270928.390431513
"582",206078.808804605
"583",182932.884448304
"584",182280.43857143
"585",196233.205206646
"586",161130.511490856
"587",142337.917398654
"588",127899.769349005
"589",164230.37056607
"590",190708.758743811
"591",110086.965627413
"592",136638.812315745
"593",141166.370243603
"594",89327.0929280865
"595",155454.121389764
"596",140061.924341334
"597",112798.587595189
"598",208926.274910967
"599",122614.473723564
"600",152919.797846176
"601",169426.582355283
"602",122930.471171085
"603",113260.574437698
"604",121785.006394044
"605",117244.319656855
"606",178819.484373427
"607",149814.57352844
"608",169200.997807104
"609",83059.2025965605
"610",110333.435909582
"611",88243.0091536124
"612",168102.057745392
"613",132616.735500484
"614",171101.686718359
"615",137954.427328364
"616",101229.699165875
"617",144532.454035238
"618",112803.434367451
"619",142933.948333463
"620",117359.893534383
"621",129691.401475685
"622",168824.702290491
"623",155359.106588082
"624",102193.523530387
"625",123121.318208618
"626",95838.4536174289
"627",121499.853111507
"628",109592.572546015
"629",59987.895992092
"630",140096.950385912
"631",105757.563837847
"632",122007.802051005
"633",140053.631454822
"634",130181.93339515
"635",127162.760897506
"636",78890.6572921551
"637",96236.5463225705
"638",138509.657190411
"639",22353.9096468682
"640",76988.8828894374
"641",124801.908237588
"642",129112.183797445
"643",90176.8741364999
"644",132290.304367168
"645",121683.826670747
"646",57789.3602403955
"647",210889.623887373
"648",73214.2612709743
"649",85353.2360686671
"650",131713.301836872
"651",161944.223416232
"652",147676.580023782
"653",124431.664525187
"654",127403.395727151
"655",159169.329729156
"656",120472.543863672
"657",134346.584991612
"658",120310.052554227
"659",115988.544623092
"660",120114.723159476
"661",97804.383643952
"662",94931.1247369034
"663",95355.6963187072
"664",182832.543338172
"665",140580.540351348
"666",188982.149855255
"667",162161.930727084
"668",143142.85011486
"669",113894.821650797
"670",128025.69592283
"671",160050.095738389
"672",127764.421377325
"673",131852.158652137
"674",112847.466398012
"675",88698.6321915709
"676",81117.9801161675
"677",125180.825850364
"678",162992.815555271
"679",151706.044050914
"680",137268.798366224
"681",157515.926725091
"682",134238.860990911
"683",160448.953521374
"684",121611.270374299
"685",140589.310203776
"686",172536.829602879
"687",170821.44394669
"688",132266.355461662
"689",141729.75339599
"690",227826.28318659
"691",115510.215404303
"692",148295.493569955
"693",156326.796574985
"694",108785.208299603
"695",110124.29282234
"696",247069.607589434
"697",211627.401430599
"698",225101.477859839
"699",234173.314251528
"700",189755.017403629
"701",251931.166720886
"702",335139.462120041
"703",309202.892657806
"704",255844.34876681
"705",209739.084388056
"706",131109.508952793
"707",214541.942809784
"708",185947.229761942
"709",202390.37674798
"710",210146.675011082
"711",144135.063240953
"712",134393.98893113
"713",152736.320573789
"714",227543.705004754
"715",266600.38894549
"716",277694.750997668
"717",237593.609433785
"718",223558.460480581
"719",145078.39339169
"720",215370.516362706
"721",203847.949509648
"722",225584.66445831
"723",212755.82147226
"724",103155.320431296
"725",145729.302123349
"726",119377.393043773
"727",148450.139764695
"728",162184.286853228
"729",251966.63330745
"730",79541.9298027838
"731",67037.2177520355
"732",84552.2566033584
"733",116828.264668858
"734",97471.7149435578
"735",95230.370726831
"736",118889.988777645
"737",114918.080006999
"738",144231.707469362
"739",162320.902553735
"740",156574.204126851
"741",182922.29087553
"742",198792.261558072
"743",186570.954020492
"744",191435.95763733
"745",149569.611079864
"746",153713.85553577
"747",214434.221828374
"748",247404.59724578
"749",207637.149815405
"750",108529.874004999
"751",108158.203131331
"752",106803.1429065
"753",114270.908181003
"754",139582.322361575
"755",97203.3171230497
"756",153327.627090518
"757",37452.3013148378
"758",76855.6444597402
"759",67487.2354261077
"760",43134.6036502252
"761",292762.045452385
"762",276749.989264886
"763",277231.385530612
"764",218848.755908192
"765",150287.381988164
"766",162022.770812156
"767",231622.435786301
"768",283161.514351758
"769",249362.755096224
"770",161505.631008462
"771",239472.827398149
"772",178918.14350427
"773",199747.258693314
"774",249184.25897108
"775",233828.919244644
"776",263778.825083027
"777",309221.420562474
"778",212776.683356998
"779",120073.254287445
"780",147682.950426761
"781",131315.517127098
"782",115653.926630587
"783",108519.79995153
"784",106910.479204544
"785",108724.230852815
"786",130715.473126244
"787",93780.3960542967
"788",100916.079283773
"789",113930.080391933
"790",113577.590034356
"791",134985.092002028
"792",169416.179098555
"793",155110.720340338
"794",158159.64387182
"795",177006.894740275
"796",189697.183638239
"797",202976.576548725
"798",166589.023614721
"799",168802.828973178
"800",142143.720249922
"801",253112.024144608
"802",275125.478419574
"803",349229.775985383
"804",390406.941818305
"805",154208.219038482
"806",323604.786426813
"807",362627.097051376
"808",376260.3055549
"809",161796.586850547
"810",195983.118233524
"811",211464.336808294
"812",217816.501518753
"813",166847.028008123
"814",172610.37074111
"815",158372.688957536
"816",214389.129579978
"817",174038.816659282
"818",141234.678938884
"819",132655.59375512
"820",94964.2218880719
"821",195301.123452245
"822",189779.589508029
"823",108655.497688243
"824",132500.071237818
"825",133205.191906453
"826",99304.6588652566
"827",359349.658543229
"828",302472.547521552
"829",335456.647621845
"830",392121.081566554
"831",331507.671514938
"832",378691.407223656
"833",407833.862753723
"834",390441.134600564
"835",404530.64457972
"836",277130.637580618
"837",341417.203329028
"838",361574.938137713
"839",371866.234638519
"840",326057.168651956
"841",316503.220474005
"842",271171.129647077
"843",267043.904130533
"844",281714.606394527
"845",242225.638309257
"846",242225.638309257
"847",245871.907359743
"848",266946.684462028
"849",298877.468497174
"850",245595.666656323
"851",243226.695185715
"852",172917.229905661
"853",183953.781650205
"854",183219.220328317
"855",177310.110839455
"856",199408.600205173
"857",196060.780922058
"858",195115.917884242
"859",186825.054214131
"860",176837.338331794
"861",233453.546289005
"862",182512.978091389
"863",201669.35627973
"864",184046.316590425
"865",218169.628012079
"866",185214.579769196
"867",208008.410301651
"868",219956.840633904
"869",174278.558090577
"870",171495.830488624
"871",358102.880149043
"872",399647.290510016
"873",330384.55444072
"874",306257.503819467
"875",300361.806310165
"876",329889.040332171
"877",205133.686385207
"878",236407.556729819
"879",239792.767578746
"880",350339.881663301
"881",214245.771992887
"882",242608.554410093
"883",230076.97409039
"884",242877.130057198
"885",254760.030142295
"886",212431.964530987
"887",200789.769012842
"888",245131.563109533
"889",179643.883157765
"890",284494.694804142
"891",254327.118395625
"892",265814.355890929
"893",270044.304125656
"894",132205.850036518
"895",160948.106855222
"896",148962.950278301
"897",199610.475823419
"898",197978.201898318
"899",132389.363369717
"900",111882.877202017
"901",133380.719623303
"902",268586.864463741
"903",142375.963358352
"904",177502.804072767
"905",234866.965941274
"906",202245.334668216
"907",227393.864692424
"908",212151.849316828
"909",230199.798249454
"910",163893.407177241
"911",181194.074231889
"912",193279.918712998
"913",239945.868865443
"914",272929.363905898
"915",269471.146602679
"916",287127.568954598
"917",322633.239062913
"918",140880.600058499
"919",205956.224753286
"920",166464.152332294
"921",166866.595628472
"922",188834.584818168
"923",203236.943792923
"924",221672.234065281
"925",145230.768037475
"926",130122.623453567
"927",134034.840933511
"928",111871.982354644
"929",132819.144193852
"930",134713.777079629
"931",123784.897090886
"932",101499.747772223
"933",159736.284687297
"934",159195.587985984
"935",193794.96394782
"936",141649.46193081
"937",198117.342271752
"938",120772.479323586
"939",65702.1476495001
"940",56303.8633197158
"941",113245.55936544
"942",127615.832917564
"943",166933.618571494
"944",149344.024294176
"945",170822.235527971
"946",137755.924237503
"947",89834.0692224042
"948",113108.226483334
"949",113249.723499901
"950",175196.053541242
"951",106494.950837975
"952",154223.694504418
"953",127912.966863865
"954",140020.137803854
"955",157825.409851828
"956",128147.825330978
"957",133287.313841406
"958",118575.409526963
"959",114317.645300519
"960",106592.271194783
"961",141552.382649268
"962",99475.9160984928
"963",121174.744854606
"964",147296.389219571
"965",242709.082124588
"966",138931.367038428
"967",170320.923809263
"968",178476.479736225
"969",100450.184448872
"970",121243.826299174
"971",116642.303571003
"972",138721.29105029
"973",125150.32684088
"974",132451.689423036
"975",134755.796639858
"976",112232.907026793
"977",100850.851778624
"978",127907.633466795
"979",111325.062359073
"980",122366.570130279
"981",69344.7115572409
"982",94380.5958693538
"983",110713.866140901
"984",126288.348846342
"985",71283.2662886906
"986",133069.89322137
"987",186984.427550192
"988",122287.735647342
"989",110884.243267913
"990",152442.093157211
"991",116753.80337675
"992",195533.345026771
"993",76319.4561237579
"994",103458.389366113
"995",120364.087359834
"996",107209.225108
"997",112521.237553678
"998",128382.337296531
"999",102344.806622171
"1000",139109.259780105
"1001",111502.044995555
"1002",127606.71975139
"1003",136876.804773179
"1004",166125.907299799
"1005",169715.729038047
"1006",132734.436774865
"1007",153247.963388875
"1008",91367.5111161069
"1009",102067.575430812
"1010",170760.377645307
"1011",187068.139720093
"1012",178302.883769918
"1013",103651.415852671
"1014",97856.3841969675
"1015",217712.780229673
"1016",107728.351228433
"1017",134829.395803861
"1018",171002.300925528
"1019",112130.417221427
"1020",146429.003541737
"1021",141142.821657974
"1022",144176.76700833
"1023",113268.310029228
"1024",120285.321810552
"1025",119475.350930703
"1026",141189.71870045
"1027",206334.23977673
"1028",164179.68164608
"1029",164025.412079697
"1030",137808.207413235
"1031",74289.920546334
"1032",183111.992111795
"1033",136480.405280017
"1034",133070.622817271
"1035",90603.6873872724
"1036",246350.644746026
"1037",150419.854572963
"1038",91350.3578177644
"1039",89391.288303736
"1040",106629.77529939
"1041",110526.269617544
"1042",130949.045585802
"1043",92426.1908260897
"1044",182919.921154131
"1045",214311.142747721
"1046",262775.368975902
"1047",287723.940924073
"1048",258554.871199879
"1049",226755.663501593
"1050",210787.877306969
"1051",190242.269140157
"1052",230699.304597476
"1053",212682.57112786
"1054",261928.652284049
"1055",130326.57829122
"1056",167252.334727869
"1057",118060.816274965
"1058",127918.026883476
"1059",237035.040708077
"1060",194658.270413708
"1061",201442.543508045
"1062",211457.597049206
"1063",138423.481633418
"1064",136953.299101537
"1065",123964.478836066
"1066",144973.122850927
"1067",130353.893095413
"1068",112314.778712545
"1069",143397.613308091
"1070",104654.733183286
"1071",230943.711562654
"1072",215912.381405363
"1073",205161.544802224
"1074",254461.852978909
"1075",269282.480547627
"1076",223474.089841142
"1077",227806.372473062
"1078",190193.066198395
"1079",201872.092178684
"1080",187942.721103692
"1081",189082.208839545
"1082",184906.913162196
"1083",125977.631609867
"1084",97691.2210409821
"1085",123041.700466201
"1086",146107.006348028
"1087",137089.628727871
"1088",167188.215531076
"1089",148120.93400266
"1090",550585.658011573
"1091",152043.290611136
"1092",105040.063768967
"1093",58410.5230046461
"1094",102123.024600923
"1095",98477.015160478
"1096",69239.867359047
"1097",89276.7532829223
"1098",175929.73491716
"1099",166672.446695753
"1100",157547.614997622
"1101",166886.705895676
"1102",158554.711824853
"1103",165120.159228791
"1104",213031.516911904
"1105",161216.796804867
"1106",176039.475732363
"1107",157200.080537255
"1108",210385.588732286
"1109",206116.840918994
"1110",110862.532550599
"1111",204023.703885305
"1112",166940.657969619
"1113",243294.464535324
"1114",280859.333080252
"1115",149432.587926343
"1116",134972.84229484
"1117",174372.605661419
"1118",92428.5747944777
"1119",55374.8961930772
"1120",119164.27902642
"1121",86793.7335447115
"1122",96734.5282284675
"1123",273256.434371089
"1124",185620.647382994
"1125",191364.556772225
"1126",201167.918359427
"1127",178861.032409178
"1128",135755.417901795
"1129",156404.209094797
"1130",237657.978500543
"1131",238060.786825823
"1132",231364.546874404
"1133",258691.929865704
"1134",187720.889226019
"1135",220548.050061339
"1136",303746.674034119
"1137",203811.22149673
"1138",276239.449228014
"1139",330640.983280529
"1140",139863.048056836
"1141",154468.143665375
"1142",73116.7410853248
"1143",106296.191103951
"1144",67587.7351987197
"1145",77548.853232276
"1146",160145.018550171
"1147",191098.211072719
"1148",178277.683303529
"1149",154063.836031538
"1150",113984.220436957
"1151",134407.173650174
"1152",138837.705272558
"1153",113899.990657534
"1154",104659.827184577
"1155",151172.178073501
"1156",130897.211791431
"1157",194530.023516465
"1158",246825.798281949
"1159",218930.552575379
"1160",160274.322908264
"1161",172169.127029973
"1162",180224.649063702
"1163",230899.363397014
"1164",269296.798110354
"1165",328134.806727994
"1166",151926.999603133
"1167",222758.01946769
"1168",399549.699675695
"1169",444313.463870834
"1170",358675.750240114
"1171",399474.914350854
"1172",388615.405700306
"1173",321134.826285677
"1174",363573.366691864
"1175",165661.552046882
"1176",178627.679159252
"1177",207209.308723148
"1178",245332.018487828
"1179",180889.839441794
"1180",136451.408492649
"1181",100390.411243891
"1182",194938.903811424
"1183",119886.49763511
"1184",130334.665958267
"1185",103167.887587189
"1186",99544.3594412178
"1187",107451.869258571
"1188",142651.259436443
"1189",141495.889377131
"1190",123369.120741692
"1191",156478.043190902
"1192",353193.061483564
"1193",293127.326430254
"1194",283813.616305522
"1195",363219.830873601
"1196",342904.252569268
"1197",338051.522568354
"1198",324888.655859955
"1199",337774.480115195
"1200",345719.951300557
"1201",339472.170569318
"1202",361013.94134285
"1203",283145.173290558
"1204",294545.344337465
"1205",321546.528962034
"1206",299072.726124021
"1207",179676.257231895
"1208",191677.700779131
"1209",200000.560982082
"1210",276524.471215381
"1211",191677.700779131
"1212",187250.509341317
"1213",197060.290815525
"1214",165062.157034133
"1215",183931.913884265
"1216",214194.083466918
"1217",187553.471431565
"1218",238769.695339137
"1219",295458.599328232
"1220",317823.643916477
"1221",404349.337715525
"1222",333560.498157884
"1223",437333.21138028
"1224",353823.526406612
"1225",340943.732351054
"1226",250700.638654331
"1227",263210.973935219
"1228",225028.223723025
"1229",208670.56625786
"1230",323651.350314923
"1231",199155.226115139
"1232",145511.877054047
"1233",209021.4806257
"1234",144838.894133704
"1235",202914.960587902
"1236",190019.948174711
"1237",183806.328090477
"1238",193179.687644123
"1239",187235.284713489
"1240",175919.460785552
"1241",170338.320247871
"1242",116536.278437677
"1243",146143.322338294
"1244",136042.610010788
"1245",112477.76347765
"1246",101545.145398978
"1247",121424.507126191
"1248",114963.928936476
"1249",103321.232361179
"1250",117278.095282217
"1251",302146.457916163
"1252",380624.780340809
"1253",191009.169454003
"1254",177659.331233098
"1255",187959.39090104
"1256",175192.349280578
"1257",188629.378174829
"1258",225392.376471676
"1259",152067.942954108
"1260",168246.023851209
"1261",134917.437301082
"1262",182106.914527139
"1263",166008.153975217
"1264",145053.925705952
"1265",119032.581424845
"1266",133443.661720773
"1267",178730.349389148
"1268",161973.249524082
"1269",150680.776836484
"1270",125044.005779758
"1271",114528.641701162
"1272",112314.055644482
"1273",159038.114714554
"1274",161384.272651943
"1275",132322.925384338
"1276",144475.18631888
"1277",110349.636183171
"1278",155344.475084074
"1279",155439.870775152
"1280",141415.202716955
"1281",135581.61068141
"1282",169645.115138293
"1283",145941.25609532
"1284",160802.858439853
"1285",144951.143625733
"1286",127466.917021721
"1287",164914.479134312
"1288",128135.210393036
"1289",113089.634000094
"1290",124821.384540736
"1291",118793.637225151
"1292",181893.839800482
"1293",146969.472728694
"1294",245164.431004903
"1295",146027.574090715
"1296",88117.8742944899
"1297",90084.8180947314
"1298",69414.9803516214
"1299",151751.133408153
"1300",138683.136857475
"1301",149090.439346017
"1302",135011.415705445
"1303",172931.354919718
"1304",158765.857403496
"1305",245459.576234586
"1306",129919.185777901
"1307",91094.1041823764
"1308",137802.154476663
"1309",127067.882800729
"1310",143465.999952297
"1311",104811.126673026
"1312",123221.584840572
"1313",149277.025690332
"1314",127831.110736373
"1315",101811.716800647
"1316",147926.984117047
"1317",150182.216962715
"1318",112929.04985794
"1319",130201.090370904
"1320",104382.216174351
"1321",80732.5316004115
"1322",72764.8643237542
"1323",94146.343703614
"1324",117580.224247218
"1325",135311.836145355
"1326",26644.4722348049
"1327",92657.8424160369
"1328",50533.1571250247
"1329",184975.90592589
"1330",93251.7804259401
"1331",103101.107886721
"1332",35631.0846316237
"1333",168262.635336431
"1334",90291.4707279471
"1335",127333.814420519
"1336",108582.856490992
"1337",187065.245900782
"1338",98684.2436033985
"1339",98275.6818873468
"1340",98404.101065103
"1341",106278.207896029
"1342",123064.050319924
"1343",189358.966107746
"1344",154872.57641668
"1345",90121.0566258841
"1346",91507.9114857828
"1347",141720.0952947
"1348",148635.131538582
